Depot,Code,long,lat,address,city,area,PostCode
F/L Doncaster,8995,53.5085,-1.1272,NULL,Doncaster,Doncaster,DN4 5PD
GB Railfreight,9005,53.5257,-1.134,C/O Tibbett & Britten Doncaster International Railport Decoy Bank South ,Doncaster,Doncaster,DN4 5PD
Belfast Quay,9015,NULL,NULL,NULL,Belfast,Belfast,NULL
Greenock Quay,9031,55.9541,-4.7657,NULL,Greenock,Inverclyde,PA16 8UU
John Joy Welding,9041,51.479,0.2942,Europa Trading Centre London Road,Grays,Thurrock,RM20 4DB
Lakeside Container Services,9042,51.479,0.2942,Europa Trading Centre London Road,Grays,Thurrock,NULL
Countrywide Freight Limited,9045,51.48175626,0.308941184,Askew Farm Road,Grays,Thurrock,RM17 5XR
F/L Cleveland,8990,54.5838,-1.1343,Trunk Road Grangetown,Middlesbrough,Middlesbrough,TS6 7SDF
Cleveland Containers,9004,54.5796,-1.1594,Cleveland House Grangetown,Middlesbrough,Middlesbrough,TS6 6UA
Potters Ely,8998,52.4035,0.2899,Queen AdelaideWay ,Ely,Cambridgeshire,CB7 4UB
GB Rail Daventry,9025,52.3479,-1.128,NULL,Daventry,Northamptonshire,NULL
Grangemouth Quay,9010,56.0241,-3.70457,NULL,Grangemouth,Falkirk,FK3 8UE
Duncan Adams,9033,56.004,-3.7069,Central Dock Road Grangemouth Dock,Grangemouth,Falkirk,FK3 8OB
Container Care,9039,53.3528,-2.9066,Progress House Dock Road Garston,Liverpool,Liverpool,NULL
Eldapoint Liverpool,9040,53.4776,-2.8557,NULL,Liverpool,Liverpool,NULL
F/L Garston,8993,53.3528,-2.9058,NULL,Liverpool,Liverpool,L19 2JN
Liverpool Quay,9008,53.4663,-3.01943,NULL,Liverpool,Liverpool,L21 1JR
F/L Coatbridge,8991,55.8701,-4.0399,NULL,Coatbridge,North Lanarkshire,ML5 2DR
Frasers Coatbridge,9000,55.8714,-4.0354,HORNOCK ROAD GARTSHERRIE IND EST,Coatbridge,North Lanarkshire,ML5 2DX
Newell & Wright Transport Ltd,9035,53.4172,-1.3939,Templeborough Depot,Sheffield,Sheffield,S9 1RT
Hull Quay,9034,53.76695913,-0.32683752,Hull Quay,Hull,"Kingston upon Hull, City of",NULL
Containerbase Barking,9026,51.5291,0.1199,NULL,Barking,Barking and Dagenham,NULL
F/L Manchester,8994,53.4627,-2.3013,Off John Gilbert Way Trafford Park,Manchester,Greater Manchester,M17 1FA
Olympic Storage,9002,53.4685,-2.2081,NULL,Manchester,Greater Manchester,M12 5NL
Thamesport Quay,9018,51.4431,0.6879,Thamesport,Thamesport,Medway,NULL
Pentalver Felixstowe,9006,51.9652,1.3189,NULL,Felixstowe,Suffolk,IP11 4XQ
Felixstowe Quay,9007,51.9591,1.31407,Trinity Terminal,Felixstowe,Suffolk,NULL
Countglade Warehousing,9011,51.9515,1.3342,ORWELL TERMINAL WALTON AVENUE,Felixstowe,Suffolk,IP11 3HE
ACS,8987,51.9604,1.3138,Unit 2/3 Nicholas Road,Felixstowe,Suffolk,IP11 4AT
Off Hire - DO NOT USE,9023,NULL,NULL,NULL,Felixstowe,Suffolk,NULL
DHL Container Logistics,9032,51.9515,1.3342,Blofield Road,Felixstowe,Suffolk,IP11 4XQ
East Anglian Freight Terminal,9009,51.9515,1.3342,PARKER AVENUE,Felixstowe,Suffolk,IP11 4HF
Transworld,9003,53.3547,-2.7361,Wandsworth Way Pitt Street,Widnes,Halton,NULL
OConnors Transport,9012,53.3552,-2.7477,NULL,Widnes,Halton,WA8 0PE
AHC Widnes,9024,53.3597,-2.7631,NULL,Widnes,Halton,NULL
F/L Leeds,8992,53.7687,-1.5131,Valley Farm Road Wakefield Road Stourton,Leeds,Leeds,LS10 1SD
Tyne Logistics,9013,54.9785,-1.4486,NULL,South Shields,South Tyneside,NE33 5SP
S Jones Containers Ltd,9036,52.6047,-1.9424,Anglian Road,Aldridge,Walsall,WS9 8ET
EWS Wakefield,9027,53.7155,-1.4122,NULL,Wakefield,Wakefield,WF6 2RH
F/L Cardiff,8989,51.5097,-3.0981,Newlands Road Wentloog,Cardiff,Cardiff,CF3 8ER
M A Rees & Son Ltd,9030,51.4696,-3.1435,Tyneside Road Port of Cardiff,Cardiff,Cardiff,CF10 4LY
Tees Dock,9014,54.5937,-1.1437,The Dock,Teesport,Redcar and Cleveland,TS6 6UD
F/L Birmingham,8988,52.4828,-1.8726,Landor Street,Birmingham,Birmingham,B8 1AJ
Tilbury Quay,9017,51.4626,0.35257,"Tilbury, Essex.",Tilbury,Essex,NULL
Grenco,9020,51.4728,0.2754,C/O SEABOURNE OLIVER ROAD WEST THURROCK GRAYS,Tilbury,Essex,RM20 3ED
Wincanton,9044,51.457,0.3625,Riverside Rail Terminal Ferry Road,Tilbury,Essex,NULL
Potters Selby,8999,53.7855,-1.0556,Barlby Road,Selby,North Yorkshire,YO8 5DZ
Hams Hall,9059,52.5193,-1.7045,ABP Connect Hams Hall Railfreight Terminal Edison Road,Coleshill,Warwickshire,B46 1DA
Goldstar Woolpit,9001,52.228,0.8943,NULL,Woolpit,Suffolk,IP30 9RH
Bristol Quay,9028,51.4866,-2.71668,NULL,Portbury,"Bristol, City of",BS11 9DQ
London Container Services,9043,51.5157,0.1849,NULL,Rainham,"Havering, Greater London",RM13 9BU
Dublin Quay,9021,NULL,NULL,NULL,Dublin,,NULL
CSM Dagenham,8996,51.524,0.1394,Chequers Lane,Dagenham,Barking and Dagenham,NULL
Bulman Marine,9038,51.5234,0.1364,Choats Road Off Choats Manorway,Dagenham,Barking and Dagenham,NULL
Ipswich Quay,9016,NULL,NULL,FERRYWAYS,Ipswich,Suffolk,NULL
Medite Warehouse,9019,52.1052,1.0934,NULL,Great Blakenham,Suffolk,NULL
Denholms,8997,51.5011,-2.6895,Bristol ICD,Avonmouth,"Bristol, City of",NULL
Seabourne,9046,51.4728,0.2754,Oliver Road West Thurrock Grays,West Thurrock,Essex,RM20 3ED
Bulmers Hull,9050,53.742,-0.2322,Staithes Road Off Headon Road,Hull,"Kingston upon Hull, City of",HU12 8DX
Universal Container Services,9047,53.4816,-2.2362,BOUNDRY TRADING PARK LIVERPOOL ROAD,Manchester,Greater Manchester,M44 6FB
Roadways Container Logistics,9048,53.46321708,-2.339639213,(Manchester Containerbase) Barton Dock Road Urmston,Manchester,Greater Manchester,M41 7BQ
Freightliner - Roadways Container Logistics,9049,53.4671,-2.3525,Manchester Container Base Barton Dock Road,Urmston,Trafford,M41 7BQ
W H Malcolm,9051,52.3468,-1.1351,CELTIC WAY D I R F T SOUTH,Crick,Northamptonshire,NN6 7GW
W H Malcolm,9052,56.0117,-3.7432,TILLYFLATS LAURIESTON ROAD,Grangemouth,Falkirk,FK3 8XT
P D Stirling Ltd,9053,55.8187,-4.0068,NULL,Bellshill,North Lanarkshire,ML14 1RR
EWSI Euro Terminal,9054,53.4816,-2.2362,WESTINGHOUSE ROAD TRAFFORD PARK,Manchester,Greater Manchester,M17 1FA
North Sea Ferries Terminal,9056,54.60248634,-1.141070662,Tees Dock Grangetown,Middlesbrough,Middlesbrough,TS6 6UD
Northern Containers,9057,53.7967,-1.5505,HAIGH ROAD STOURTON,Leeds,Leeds,LS10 1RT
Portland Harbour Authority,9058,50.5587,-2.4429,CASTLETOWN PORTLAND DORSET,Portland,Dorset,NULL
bangkok,1,NULL,NULL,NULL,Bangkok,,NULL
